ZIPCODE,DISTRICT
75038,not in wa
75061,not in wa
75062,not in wa
75070,not in wa
75082,not in wa
75131,not in wa
75201,not in wa
75202,not in wa
75204,not in wa
75206,not in wa
75209,not in wa
75214,not in wa
75219,not in wa
75230,not in wa
75771,not in wa
75904,not in wa
76010,not in wa
76012,not in wa
76022,not in wa
76102,not in wa
76106,not in wa
76121,not in wa
76131,not in wa
76134,not in wa
76161,not in wa
76207,not in wa
76504,not in wa
76633,not in wa
77002,not in wa
77005,not in wa
77006,not in wa
77013,not in wa
77018,not in wa
77019,not in wa
77024,not in wa
77027,not in wa
77043,not in wa
77067,not in wa
77079,not in wa
77096,not in wa
77098,not in wa
77207,not in wa
77210,not in wa
77233,not in wa
77253,not in wa
77284,not in wa
77380,not in wa
77401,not in wa
77450,not in wa
77479,not in wa
77571,not in wa
77584,not in wa
78015,not in wa
78108,not in wa
78131,not in wa
78159,not in wa
78205,not in wa
78217,not in wa
78218,not in wa
78247,not in wa
78259,not in wa
78265,not in wa
78288,not in wa
78414,not in wa
78605,not in wa
78613,not in wa
78645,not in wa
78660,not in wa
78701,not in wa
78704,not in wa
78705,not in wa
78730,not in wa
78738,not in wa
78750,not in wa
78759,not in wa
79606,not in wa
79998,not in wa
80010,not in wa
80011,not in wa
80012,not in wa
80013,not in wa
80015,not in wa
80023,not in wa
80027,not in wa
80064,not in wa
80107,not in wa
80110,not in wa
80111,not in wa
80128,not in wa
80129,not in wa
80134,not in wa
80155,not in wa
80201,not in wa
80202,not in wa
80203,not in wa
80206,not in wa
80207,not in wa
80209,not in wa
80210,not in wa
80212,not in wa
80218,not in wa
80220,not in wa
80221,not in wa
80222,not in wa
80235,not in wa
80241,not in wa
80260,not in wa
80301,not in wa
80302,not in wa
80303,not in wa
80305,not in wa
80403,not in wa
80488,not in wa
80517,not in wa
80521,not in wa
80525,not in wa
80602,not in wa
80642,not in wa
80903,not in wa
80915,not in wa
80918,not in wa
80919,not in wa
80920,not in wa
80949,not in wa
81007,not in wa
81122,not in wa
81147,not in wa
81507,not in wa
81632,not in wa
82001,not in wa
82443,not in wa
82834,not in wa
83201,not in wa
83340,not in wa
83401,not in wa
83404,not in wa
83467,not in wa
83501,not in wa
83541,not in wa
83605,not in wa
83607,not in wa
83616,not in wa
83634,not in wa
83638,not in wa
83641,not in wa
83642,not in wa
83687,not in wa
83701,not in wa
83702,not in wa
83703,not in wa
83706,not in wa
83709,not in wa
83712,not in wa
83713,not in wa
83714,not in wa
83716,not in wa
83804,not in wa
83816,not in wa
83821,not in wa
83833,not in wa
83835,not in wa
83836,not in wa
83843,not in wa
83854,not in wa
83856,not in wa
83858,not in wa
83864,not in wa
84004,not in wa
84020,not in wa
84043,not in wa
84047,not in wa
84062,not in wa
84070,not in wa
84074,not in wa
84097,not in wa
84098,not in wa
84115,not in wa
84116,not in wa
84121,not in wa
84158,not in wa
84663,not in wa
